latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,wind_speed_10m_mean,wind_direction_10m_dominant
46.4273,29.02452,367,0.35,0.56,11/02/2022,1141,N20,VIIRS,h,2,292.4,7.51,D,0,6.8,260
45.91568,28.98033,367,0.34,0.56,11/02/2022,1141,N20,VIIRS,h,2,293.45,35.33,D,0,9,257
45.91049,28.98092,367,0.34,0.56,11/02/2022,1141,N20,VIIRS,h,2,292.47,12.39,D,0,9,257
45.9149,28.97982,367,0.34,0.56,11/02/2022,1141,N20,VIIRS,h,2,312.76,69.78,D,0,9,257
45.38683,28.94909,367,0.34,0.56,11/02/2022,1141,N20,VIIRS,h,2,292.46,14.96,D,0,8,248
45.3467,28.77086,367,0.33,0.55,11/02/2022,1141,N20,VIIRS,h,2,290.67,8.26,D,0,9,266
48.53604,34.64536,367,0.54,0.68,14/02/2022,58,N20,VIIRS,h,2,270.48,9.2,N,3,7.1,175
48.53634,34.64279,367,0.54,0.68,14/02/2022,58,N20,VIIRS,h,2,270.42,9.41,N,3,7.1,175
48.16582,30.61539,367,0.38,0.59,14/02/2022,58,N20,VIIRS,h,2,270.76,4.71,N,2,8.7,157
47.09782,37.60392,367,0.36,0.57,15/02/2022,2240,N20,VIIRS,h,2,277.5,6.23,N,2,15.3,88
47.34306,30.24355,367,0.38,0.59,17/02/2022,949,N20,VIIRS,h,2,290.79,9.68,D,0,17,206
47.59133,29.74651,367,0.4,0.6,17/02/2022,949,N20,VIIRS,h,2,291.87,8.78,D,0,16.3,211
47.27513,34.52064,367,0.45,0.63,17/02/2022,1129,N20,VIIRS,h,2,298.95,83.38,D,0,22.9,183
45.42921,29.10885,367,0.49,0.65,21/02/2022,1154,N20,VIIRS,h,2,292.96,15.09,D,0,12.2,197
47.81935,29.47385,367,0.53,0.67,21/02/2022,1154,N20,VIIRS,h,2,290.9,31.35,D,0,14,210
47.56195,29.489,367,0.53,0.67,21/02/2022,1154,N20,VIIRS,h,2,291.27,14.14,D,0,13.4,203
47.56425,29.49044,367,0.53,0.67,21/02/2022,1154,N20,VIIRS,h,2,291.09,23.46,D,0,13.4,203
47.34461,30.11197,367,0.56,0.69,21/02/2022,1154,N20,VIIRS,h,2,293.59,27.88,D,0,12.5,204
47.34347,30.11288,367,0.56,0.69,21/02/2022,1154,N20,VIIRS,h,2,292.5,22.69,D,0,12.5,204
47.47957,30.76393,367,0.49,0.65,23/02/2022,936,N20,VIIRS,h,2,290.01,10.65,D,0,9.3,303
47.61921,30.06239,367,0.4,0.45,23/02/2022,1116,N20,VIIRS,h,2,291.75,14.97,D,0,9.8,297
49.50923,23.69872,367,0.4,0.37,11/03/2022,1118,N20,VIIRS,h,2,352.89,107.33,D,0,10.9,33
49.02961,38.3895,367,0.64,0.72,13/03/2022,52,N20,VIIRS,h,2,257.84,26.33,N,0,7.4,48
48.17695,23.58372,367,0.33,0.56,14/03/2022,1201,N20,VIIRS,h,2,291.52,22.09,D,0,7.5,67
48.67888,25.00646,367,0.39,0.6,14/03/2022,1201,N20,VIIRS,h,2,294.31,10.72,D,0,8.7,136
48.82887,25.03857,367,0.4,0.6,14/03/2022,1202,N20,VIIRS,h,2,290.08,8.42,D,0,8.8,135
49.1659,24.25585,367,0.37,0.58,14/03/2022,1202,N20,VIIRS,h,2,290.03,13.52,D,0,9.4,138
49.16335,24.25417,367,0.37,0.58,14/03/2022,1202,N20,VIIRS,h,2,290.76,6.54,D,0,9.4,138
49.36548,23.58746,367,0.34,0.56,14/03/2022,1202,N20,VIIRS,h,2,293.49,5.7,D,0,7.3,147
