latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
47.87531,35.16188,296.23,0.33,0.55,2019-01-01,0033,N20,VIIRS,n,2,264.58,0.67,N,2
47.86411,33.44747,302.74,0.55,0.51,2019-01-01,0033,N20,VIIRS,n,2,266.17,3.22,N,2
48.1678,30.61676,299.87,0.41,0.45,2019-01-01,0034,N20,VIIRS,n,2,267.54,1.23,N,2
47.87051,33.39215,344.6,0.34,0.56,2019-01-03,1123,N20,VIIRS,n,2,277.65,4.19,D,2
48.16634,30.61466,327.2,0.51,0.41,2019-01-03,2337,N20,VIIRS,n,2,267.68,13,N,2
47.8693,33.39135,307.11,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,269.04,1.38,N,2
47.86213,33.44692,337.17,0.42,0.37,2019-01-03,2337,N20,VIIRS,n,2,273.57,16.66,N,2
47.86698,33.43679,306.8,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,267.1,0.87,N,2
47.8677,33.43124,302.18,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,268.38,0.87,N,2
47.87271,33.39234,302.38,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,269.92,1.23,N,2
47.87415,33.38122,322.28,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,269.66,1.81,N,2
47.87667,33.41654,299.14,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,272.91,0.99,N,3
47.87739,33.41098,300.2,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,272.85,0.99,N,3
47.87811,33.40543,300.96,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,270.34,1.05,N,3
47.88224,33.40083,304.32,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,268.39,1.05,N,3
48.16718,30.61469,326.01,0.51,0.41,2019-01-03,2337,N20,VIIRS,n,2,265.44,7.84,N,2
47.84332,33.38232,299.13,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,269.31,1.41,N,3
47.62978,34.31924,324.28,0.4,0.37,2019-01-03,2337,N20,VIIRS,n,2,271.38,2.33,N,2
48.48926,34.97904,314.25,0.4,0.37,2019-01-03,2337,N20,VIIRS,n,2,270.49,2.52,N,2
47.88332,33.44726,302.62,0.42,0.37,2019-01-03,2337,N20,VIIRS,n,2,268.24,0.81,N,2
47.84539,33.38444,311.86,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,269.62,0.97,N,3
47.84259,33.38785,313.69,0.42,0.38,2019-01-03,2337,N20,VIIRS,n,2,270.88,1.41,N,3
