latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
52.84776,29.99118,337.78,0.39,0.44,2019-01-11,0045,N20,VIIRS,n,2,261.37,3.74,N,2
52.84677,29.99273,325.16,0.47,0.39,2019-01-17,0033,N20,VIIRS,n,2,266.17,6.51,N,2
52.94358,31.18891,297.41,0.41,0.37,2019-01-18,2355,N20,VIIRS,n,2,261.01,0.49,N,0
51.89226,29.34038,325.44,0.34,0.56,2019-01-19,0944,N20,VIIRS,n,2,272.71,1.71,D,2
51.89336,29.34245,326.16,0.49,0.49,2019-01-19,1124,N20,VIIRS,n,2,272.08,3.09,D,2
52.84723,29.98745,321.98,0.4,0.37,2019-01-24,0001,N20,VIIRS,n,2,262.05,1.95,N,2
51.89233,29.34538,336.13,0.49,0.49,2019-02-04,1124,N20,VIIRS,n,2,277.82,3.62,D,2
52.84687,29.98945,332.83,0.4,0.37,2019-02-07,1028,N20,VIIRS,n,2,278.32,4.4,D,2
52.02884,24.82986,335.9,0.47,0.64,2019-02-07,1209,N20,VIIRS,n,2,272.86,3.65,D,0
52.84834,29.9893,326.49,0.4,0.37,2019-02-08,0020,N20,VIIRS,n,2,271.34,3.06,N,2
51.89324,29.34058,332.45,0.4,0.37,2019-02-08,0021,N20,VIIRS,n,2,272.28,2.67,N,2
51.88998,29.33906,296.86,0.4,0.37,2019-02-08,0021,N20,VIIRS,n,2,269.38,0.59,N,2
51.89183,29.3403,338.1,0.39,0.44,2019-02-08,1009,N20,VIIRS,n,2,279.46,4.67,D,2
51.8888,29.3454,337.74,0.46,0.64,2019-02-08,1150,N20,VIIRS,n,2,275.47,3.44,D,2
51.89447,29.34416,318.92,0.4,0.37,2019-02-09,0002,N20,VIIRS,n,2,268.59,0.99,N,2
52.84838,29.99165,302.09,0.4,0.37,2019-02-09,0002,N20,VIIRS,n,2,268.97,1.1,N,2
51.89081,29.34269,306.08,0.68,0.74,2019-02-09,0142,N20,VIIRS,n,2,267.61,2.41,N,2
52.84799,29.99214,326.32,0.53,0.42,2019-02-09,2343,N20,VIIRS,n,2,269.45,3.52,N,2
51.89269,29.33902,300.76,0.55,0.43,2019-02-09,2343,N20,VIIRS,n,2,268.68,1.64,N,2
51.76892,27.07583,339.97,0.46,0.39,2019-02-10,1112,N20,VIIRS,n,2,277.88,3.62,D,0
52.0434,26.52078,330.52,0.45,0.39,2019-02-10,1112,N20,VIIRS,n,2,277.33,3.53,D,0
52.04268,26.51426,325.55,0.45,0.39,2019-02-10,1112,N20,VIIRS,n,2,279.13,3.53,D,0
52.40631,25.36866,332.79,0.42,0.38,2019-02-10,1112,N20,VIIRS,n,2,278.42,4.42,D,0
51.76818,27.06914,339.2,0.46,0.39,2019-02-10,1112,N20,VIIRS,n,2,277.78,13.52,D,0
52.04416,26.51456,332.08,0.45,0.39,2019-02-10,1112,N20,VIIRS,n,2,279.05,3.96,D,0
52.04138,26.52213,338.63,0.45,0.39,2019-02-10,1112,N20,VIIRS,n,2,277.99,5.23,D,0
51.92363,25.98187,327.04,0.43,0.38,2019-02-10,1112,N20,VIIRS,n,2,280.35,3.09,D,0
51.92015,25.98295,332.52,0.43,0.38,2019-02-10,1112,N20,VIIRS,n,2,281.24,3.09,D,0
51.91668,25.98402,349.31,0.43,0.38,2019-02-10,1112,N20,VIIRS,n,2,282.66,12.22,D,0
51.91742,25.9903,328.04,0.43,0.38,2019-02-10,1112,N20,VIIRS,n,2,280.17,5.85,D,0
