latitude,longitude,acq_date,confidence,frp,type
47.87531,35.16188,01/01/2019,n,0.67,2
47.86411,33.44747,01/01/2019,n,3.22,2
48.1678,30.61676,01/01/2019,n,1.23,2
47.87051,33.39215,03/01/2019,n,4.19,2
48.16634,30.61466,03/01/2019,n,13,2
47.8693,33.39135,03/01/2019,n,1.38,2
47.86213,33.44692,03/01/2019,n,16.66,2
47.86698,33.43679,03/01/2019,n,0.87,2
47.8677,33.43124,03/01/2019,n,0.87,2
47.87271,33.39234,03/01/2019,n,1.23,2
47.87415,33.38122,03/01/2019,n,1.81,2
47.87667,33.41654,03/01/2019,n,0.99,3
47.87739,33.41098,03/01/2019,n,0.99,3
47.87811,33.40543,03/01/2019,n,1.05,3
47.88224,33.40083,03/01/2019,n,1.05,3
48.16718,30.61469,03/01/2019,n,7.84,2
47.84332,33.38232,03/01/2019,n,1.41,3
47.62978,34.31924,03/01/2019,n,2.33,2
48.48926,34.97904,03/01/2019,n,2.52,2
47.88332,33.44726,03/01/2019,n,0.81,2
47.84539,33.38444,03/01/2019,n,0.97,3
47.84259,33.38785,03/01/2019,n,1.41,3
47.09478,37.60157,04/01/2019,n,5.89,2
47.09406,37.60714,04/01/2019,n,5.89,2
47.09549,37.596,04/01/2019,n,1.56,2
47.09134,37.60059,04/01/2019,n,5.89,2
47.09348,37.58388,04/01/2019,n,0.87,2
47.1548,37.53226,04/01/2019,n,1.39,2
48.16496,30.61665,04/01/2019,n,4.3,2
47.0975,37.60811,04/01/2019,n,1.18,2
45.88625,29.06078,05/01/2019,n,3.21,0
48.16503,30.61957,05/01/2019,n,1.97,2
47.87613,35.15717,05/01/2019,n,13.58,2
47.09463,37.60086,05/01/2019,n,9.66,2
47.09415,37.60647,05/01/2019,n,9.66,2
47.87117,35.16339,06/01/2019,n,2.3,2
47.23703,32.23936,06/01/2019,n,2.81,0
48.16385,30.61842,08/01/2019,n,6.9,2
48.17283,37.70018,09/01/2019,n,3.99,2
47.87406,35.15995,12/01/2019,n,4.23,2
47.87986,35.19213,12/01/2019,n,9.24,2
47.87097,35.16335,13/01/2019,n,1.07,2
47.86057,35.14283,13/01/2019,n,1.31,3
47.16337,37.55577,13/01/2019,n,3.92,2
47.1622,37.56157,13/01/2019,n,3.92,2
47.16482,37.5566,13/01/2019,n,3.1,2
47.1602,37.56094,13/01/2019,n,6.67,2
47.10572,37.58849,13/01/2019,n,1.38,2
47.09643,37.59718,13/01/2019,n,10.36,2
47.09526,37.60302,13/01/2019,n,10.36,2
47.09409,37.60887,13/01/2019,n,3.72,2
47.09177,37.60157,13/01/2019,n,10.36,2
47.87605,35.1543,13/01/2019,n,0.74,2
48.16556,30.61897,16/01/2019,n,3.53,2
48.53135,34.64943,16/01/2019,n,7.45,2
47.09332,37.59524,16/01/2019,n,3.31,2
47.86936,35.16409,16/01/2019,n,3.23,2
47.87558,35.15657,16/01/2019,n,16.14,2
47.0947,37.60837,16/01/2019,n,6.98,2
48.53194,34.64645,16/01/2019,n,3.29,2
48.17402,37.69792,16/01/2019,n,4.14,2
48.46391,38.7774,16/01/2019,n,8.26,2
47.86804,33.44968,17/01/2019,n,4.72,2
47.86509,33.43348,17/01/2019,n,3.36,2
47.86821,33.39162,17/01/2019,n,2.98,2
47.09422,37.60506,17/01/2019,n,13.29,2
48.74781,26.60472,18/01/2019,n,0.66,2
48.16575,30.61787,18/01/2019,n,6.77,2
47.6253,34.32524,19/01/2019,n,4.21,2
47.86846,33.39299,19/01/2019,n,2.65,2
48.21598,38.24415,19/01/2019,n,4.91,2
48.73148,37.55352,19/01/2019,n,4.12,2
48.21271,38.24289,19/01/2019,n,4.91,2
48.16603,37.70335,19/01/2019,n,3.68,2
48.53511,34.64663,19/01/2019,n,2.97,3
48.51992,34.63068,19/01/2019,n,3.4,2
47.88103,35.18876,19/01/2019,n,1.03,2
47.87924,35.17738,19/01/2019,n,1.31,2
47.87566,35.15461,19/01/2019,n,2.56,2
47.87086,35.16388,19/01/2019,n,0.66,2
47.86757,35.16283,19/01/2019,n,0.79,2
47.87193,33.3896,19/01/2019,n,2.76,2
47.20942,37.55625,19/01/2019,n,1,2
47.20615,37.55505,19/01/2019,n,1,2
47.20374,37.54882,19/01/2019,n,0.79,2
47.16267,37.56599,19/01/2019,n,1.1,2
47.16027,37.55977,19/01/2019,n,2.91,2
47.16541,37.52952,19/01/2019,n,1.43,2
47.1594,37.56481,19/01/2019,n,2.91,2
47.15802,37.5322,19/01/2019,n,5.45,2
47.1429,37.58023,19/01/2019,n,1.87,2
47.13963,37.57904,19/01/2019,n,1.87,2
47.13877,37.58409,19/01/2019,n,1.74,2
47.63111,34.32833,19/01/2019,n,0.61,2
47.62851,34.32204,19/01/2019,n,8.76,2
47.10696,37.59182,19/01/2019,n,1.4,2
47.10369,37.59062,19/01/2019,n,1.4,2
47.10455,37.58558,19/01/2019,n,1.4,2
