latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
50.16249,36.81038,303.37,0.4,0.37,2020-01-01,2330,N20,VIIRS,n,2,268.8,0.76,N,0
48.1645,30.61398,297.9,0.4,0.44,2020-01-01,2331,N20,VIIRS,n,2,267.34,1.23,N,2
47.8777,33.4092,303.67,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,273.76,1.77,N,3
47.86115,33.39217,297.47,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,271.58,0.8,N,0
47.87699,33.41537,300.09,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,275.41,1.09,N,3
47.87057,33.43913,324,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,270.41,3.65,N,2
47.87481,33.40211,300.06,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,271.17,1.35,N,3
47.87262,33.38882,317.82,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,273.44,1.49,N,2
47.87192,33.395,300.2,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,272.08,1.49,N,2
48.16855,30.61481,295.83,0.4,0.44,2020-01-01,2331,N20,VIIRS,n,2,266.4,1.37,N,2
47.85974,33.40453,302.47,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,270.82,0.93,N,0
47.85413,33.38373,298.53,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,270.8,0.83,N,0
47.84264,33.38709,318.23,0.46,0.39,2020-01-01,2331,N20,VIIRS,n,2,273.71,1.72,N,3
47.13098,37.6307,299.14,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,273.94,0.68,N,2
47.0958,37.59269,320.74,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,272.42,3.87,N,2
47.09502,37.59768,330.06,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,275.92,3.87,N,2
47.09424,37.60266,333.52,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,277.33,6.33,N,2
47.09812,37.57774,298.01,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,274.11,0.78,N,2
47.09735,37.58272,301.6,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,273.82,0.94,N,2
47.09098,37.60157,323.25,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,277.86,13.54,N,2
47.09409,37.58164,319.03,0.38,0.36,2020-01-01,2331,N20,VIIRS,n,2,273.57,1.6,N,2
48.75027,26.60381,296.65,0.61,0.53,2020-01-01,2331,N20,VIIRS,n,2,269.92,1.43,N,2
48.16174,30.61992,324.73,0.52,0.67,2020-01-02,0111,N20,VIIRS,n,2,270.43,14.02,N,2
47.88459,33.4444,302.2,0.69,0.74,2020-01-02,0111,N20,VIIRS,n,2,269.13,1.1,N,2
47.87563,33.38408,295.16,0.69,0.74,2020-01-02,0111,N20,VIIRS,n,2,268.64,1.93,N,2
47.88202,33.44512,300.64,0.69,0.74,2020-01-02,0111,N20,VIIRS,n,2,269.38,1.56,N,2
48.165,30.61362,367,0.52,0.67,2020-01-02,0111,N20,VIIRS,h,2,271.78,11.06,N,2
48.16277,30.62019,314.76,0.52,0.67,2020-01-02,0111,N20,VIIRS,n,2,270.12,11.06,N,2
48.16942,30.61753,295.64,0.52,0.67,2020-01-02,0111,N20,VIIRS,n,2,267.03,8.7,N,2
