latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
47.63053,34.32401,367,0.36,0.57,22/01/2019,40,N20,VIIRS,h,2,268.68,10.02,N,2
49.53162,23.50111,367,0.56,0.69,17/02/2019,1221,N20,VIIRS,h,2,293.27,73.7,D,0
45.25635,28.72663,367,0.33,0.55,19/02/2019,1142,N20,VIIRS,h,2,293.74,7.56,D,0
47.87298,33.44611,367,0.33,0.56,22/02/2019,2300,N20,VIIRS,h,2,271.8,14.5,N,2
47.86969,33.44384,367,0.33,0.56,22/02/2019,2300,N20,VIIRS,h,2,264.82,10.65,N,2
48.49037,34.97733,367,0.36,0.57,23/02/2019,40,N20,VIIRS,h,2,271.78,10.53,N,2
48.49066,34.97546,367,0.36,0.57,23/02/2019,40,N20,VIIRS,h,2,265.25,7.98,N,2
45.40574,29.7034,367,0.46,0.39,28/02/2019,1033,N20,VIIRS,h,2,342.83,149.39,D,0
45.40353,29.69194,367,0.46,0.39,28/02/2019,1033,N20,VIIRS,h,2,335.7,146.5,D,0
45.40334,29.70241,367,0.46,0.39,28/02/2019,1033,N20,VIIRS,h,2,346.67,254.44,D,0
45.40345,29.68386,367,0.46,0.39,28/02/2019,1033,N20,VIIRS,h,2,326.3,370.3,D,0
49.47278,23.6511,367,0.43,0.46,28/02/2019,1034,N20,VIIRS,h,2,290.36,17.61,D,0
49.93681,24.10098,367,0.51,0.66,28/02/2019,1215,N20,VIIRS,h,2,292.01,66.68,D,0
50.38049,23.79191,367,0.49,0.65,28/02/2019,1215,N20,VIIRS,h,2,293.11,137.09,D,0
49.49451,23.80509,367,0.49,0.65,28/02/2019,1215,N20,VIIRS,h,2,296.45,42.87,D,0
45.51982,29.53475,367,0.71,0.75,28/02/2019,2248,N20,VIIRS,h,2,276.39,11.75,N,0
50.73452,24.41498,367,0.57,0.69,02/03/2019,149,N20,VIIRS,h,2,269.67,7.62,N,0
50.731,24.4139,367,0.57,0.69,02/03/2019,149,N20,VIIRS,h,2,271.67,10.8,N,0
50.73355,24.4068,367,0.57,0.69,02/03/2019,149,N20,VIIRS,h,2,267.45,18.31,N,0
46.27044,29.37088,367,0.55,0.43,03/03/2019,1117,N20,VIIRS,h,2,335.65,161.11,D,0
48.53683,34.18296,367,0.32,0.55,03/03/2019,1117,N20,VIIRS,h,2,291.38,87.63,D,0
45.49469,29.47095,367,0.55,0.42,03/03/2019,1117,N20,VIIRS,h,2,335.17,109.76,D,0
46.2664,29.3645,367,0.55,0.43,03/03/2019,1117,N20,VIIRS,h,2,332.71,68.1,D,0
46.27101,29.37076,367,0.55,0.43,03/03/2019,1117,N20,VIIRS,h,2,331.22,121.18,D,0
46.47974,30.10463,367,0.56,0.69,04/03/2019,112,N20,VIIRS,h,2,270.1,8.31,N,0
49.69289,23.30357,367,0.41,0.37,04/03/2019,1059,N20,VIIRS,h,2,290.09,10.43,D,0
48.35808,22.56369,367,0.5,0.66,05/03/2019,1221,N20,VIIRS,h,2,290.59,9.42,D,0
48.35839,22.56507,367,0.5,0.66,05/03/2019,1221,N20,VIIRS,h,2,290.49,11.67,D,0
50.21568,31.35635,367,0.5,0.66,09/03/2019,925,N20,VIIRS,h,2,293.2,29.25,D,0
46.87765,30.31659,367,0.39,0.59,13/03/2019,949,N20,VIIRS,h,2,295.11,6.09,D,0
48.97701,30.61069,367,0.33,0.55,13/03/2019,950,N20,VIIRS,h,2,290.09,30.07,D,0
49.66244,32.95633,367,0.4,0.6,13/03/2019,1130,N20,VIIRS,h,2,290.55,31.66,D,0
47.19977,32.61158,367,0.37,0.58,13/03/2019,1130,N20,VIIRS,h,2,290.3,19.08,D,0
48.2364,32.42984,367,0.37,0.58,13/03/2019,1130,N20,VIIRS,h,2,290.85,6.98,D,0
48.51784,24.69316,367,0.32,0.55,17/03/2019,1015,N20,VIIRS,h,2,294.06,6.54,D,0
48.5131,24.69592,367,0.32,0.55,17/03/2019,1015,N20,VIIRS,h,2,290.46,6.54,D,0
48.61102,25.50674,367,0.35,0.57,17/03/2019,1155,N20,VIIRS,h,2,300.33,5.41,D,0
48.7387,24.81615,367,0.33,0.55,17/03/2019,1155,N20,VIIRS,h,2,293.08,4.83,D,0
48.82326,24.81384,367,0.33,0.55,17/03/2019,1155,N20,VIIRS,h,2,295.55,8.82,D,0
48.35898,25.50073,367,0.35,0.57,17/03/2019,1155,N20,VIIRS,h,2,302.13,12.81,D,0
