latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
47.15578,37.52996,297.18,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,271.86,0.65,N,2
47.09485,37.60851,304.44,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,274.29,1.94,N,2
48.74947,26.60187,311.08,0.36,0.58,01/01/2022,2324,N20,VIIRS,n,2,275.98,1.27,N,2
47.09631,37.59814,297.93,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,272.55,1.31,N,2
47.09558,37.60332,326.81,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,276.35,1.94,N,2
47.10255,37.57838,298.01,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,270.78,1.52,N,0
47.10182,37.58358,327.25,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,272.92,2.95,N,2
47.13134,37.63082,296.51,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,273.32,0.93,N,2
47.13785,37.5842,295.45,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,271.96,0.59,N,2
47.13857,37.57901,298.48,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,272.12,0.59,N,2
47.15071,37.56644,304.95,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,272.03,1.48,N,0
48.74656,26.6008,295.89,0.36,0.58,01/01/2022,2324,N20,VIIRS,n,2,272.74,1.35,N,2
47.16214,37.55904,316.21,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,274.41,2.19,N,2
47.1581,37.56324,325.06,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,275.16,2.28,N,2
47.15477,37.56224,325.89,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,271.89,1.48,N,2
47.15404,37.56745,297.46,0.4,0.37,01/01/2022,2324,N20,VIIRS,n,2,273.53,1.48,N,2
48.167,30.61584,299.78,0.44,0.62,02/01/2022,104,N20,VIIRS,n,2,273.2,0.95,N,2
47.10644,37.58442,298.28,0.55,0.43,02/01/2022,2305,N20,VIIRS,n,2,267.41,1.55,N,2
47.15579,37.52798,325.18,0.56,0.43,02/01/2022,2305,N20,VIIRS,n,2,264.62,4.63,N,2
47.15617,37.56562,335.9,0.55,0.43,02/01/2022,2305,N20,VIIRS,n,2,267.25,6.28,N,2
48.21373,38.24238,325,0.53,0.42,02/01/2022,2305,N20,VIIRS,n,2,265.33,2.69,N,2
47.10699,37.58546,299.26,0.55,0.43,02/01/2022,2305,N20,VIIRS,n,2,267.98,1.88,N,2
47.09527,37.58293,298.23,0.55,0.43,02/01/2022,2305,N20,VIIRS,n,2,266.59,1.93,N,2
47.097,37.60567,313.51,0.55,0.43,02/01/2022,2305,N20,VIIRS,n,2,268.86,2.56,N,2
47.099,37.5915,305.95,0.59,0.7,03/01/2022,45,N20,VIIRS,n,2,263.37,3.94,N,2
47.09414,37.60555,314.5,0.59,0.7,03/01/2022,45,N20,VIIRS,n,2,266.83,3.56,N,2
47.09658,37.5985,318.78,0.59,0.7,03/01/2022,45,N20,VIIRS,n,2,264.73,3.56,N,2
47.2062,37.55082,295.15,0.45,0.47,05/01/2022,8,N20,VIIRS,n,2,273.77,0.92,N,2
47.0924,37.60754,296.69,0.46,0.47,05/01/2022,8,N20,VIIRS,n,2,273.79,1.49,N,2
47.0938,37.60181,297.55,0.46,0.47,05/01/2022,8,N20,VIIRS,n,2,272.7,1.49,N,2
47.09521,37.59608,315.83,0.46,0.47,05/01/2022,8,N20,VIIRS,n,2,273.65,2.17,N,2
47.09792,37.60389,308.73,0.46,0.47,05/01/2022,8,N20,VIIRS,n,2,274.13,1.49,N,2
47.10621,37.58896,297.41,0.46,0.47,05/01/2022,8,N20,VIIRS,n,2,274.88,1.16,N,2
47.15434,37.5621,302.29,0.45,0.47,05/01/2022,8,N20,VIIRS,n,2,271.57,0.95,N,2
47.14199,37.57493,303.31,0.46,0.47,05/01/2022,8,N20,VIIRS,n,2,272.58,1.59,N,2
47.1598,37.55856,295.05,0.45,0.47,05/01/2022,8,N20,VIIRS,n,2,272.62,2.51,N,2
47.15844,37.5642,336.6,0.45,0.47,05/01/2022,8,N20,VIIRS,n,2,276.61,2.51,N,2
47.85521,33.39853,307.78,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,273.73,1.62,N,0
48.16373,30.61322,300.15,0.42,0.37,05/01/2022,2349,N20,VIIRS,n,2,278.63,1.12,N,2
48.16641,30.61973,310.87,0.42,0.37,05/01/2022,2349,N20,VIIRS,n,2,276.04,0.99,N,2
47.84378,33.38393,315.58,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,278.27,1.59,N,3
47.88543,33.4463,305.28,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,275.74,1.3,N,2
47.8756,33.42158,326.14,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,276.69,2.55,N,2
47.87877,33.40137,297.19,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,277.31,1.16,N,3
47.87798,33.40642,319.4,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,276.86,1.16,N,3
47.87719,33.41147,312.04,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,280.82,2.71,N,3
47.87639,33.41652,306.05,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,279.29,2.71,N,3
47.87321,33.43673,300.23,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,275.79,1.35,N,2
47.87163,33.44683,306.52,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,277.3,1.72,N,2
47.87234,33.42045,326.01,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,274.49,2.55,N,3
47.8675,33.42942,314.45,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,274.55,1.55,N,2
47.8706,33.38788,300.77,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,276.53,1.32,N,2
47.8698,33.39294,310.26,0.38,0.36,05/01/2022,2349,N20,VIIRS,n,2,275.83,1.32,N,2
48.16761,30.61399,300.24,0.79,0.78,06/01/2022,129,N20,VIIRS,n,2,273.99,1.77,N,2
45.25076,28.57501,336.47,0.49,0.4,06/01/2022,1115,N20,VIIRS,n,2,287.19,3.71,D,0
48.97882,24.70864,297.45,0.38,0.59,06/01/2022,2330,N20,VIIRS,n,2,267.81,0.69,N,2
48.16632,30.61654,325.49,0.51,0.66,07/01/2022,110,N20,VIIRS,n,2,274.13,3.57,N,2
47.62576,34.32755,338.48,0.55,0.68,07/01/2022,917,N20,VIIRS,n,2,277.16,6.34,D,2
47.08905,37.60752,337.56,0.53,0.5,07/01/2022,1056,N20,VIIRS,n,2,277.79,6.65,D,2
46.41319,29.10909,327.17,0.39,0.36,07/01/2022,1057,N20,VIIRS,n,2,280.34,2.46,D,0
47.86494,33.43214,332.88,0.53,0.42,07/01/2022,1057,N20,VIIRS,n,2,276.29,5.77,D,2
47.86916,33.39508,326.53,0.53,0.42,07/01/2022,1057,N20,VIIRS,n,2,277.49,5,D,2
50.45412,34.11552,329.23,0.4,0.44,07/01/2022,1057,N20,VIIRS,n,2,272.83,2.01,D,0
